PRIREF,NAME
2577,"Bezirk Lichtenberg von Berlin, Gartenbauamt"
2580,"Schmiedecke, Ralf"
2582,"DEWAG, Redaktionsgruppe"
2587,DKB Stiftung für Gesellschaftkliches Engagement
2590,Förderverein Schloss Hohenschönhausen
2591,Förderverein Schloß Hohenschönhausen e.V.
2595,"Unger, Bernd D. W."
2597,"Poertzel, Hermann Hugo Otto"
2599,"von Ende, Gerd"
2601,"Ende, Gerd von"
2602,Trabrenn-Verein Mariendorf e.V.
2605,"Grämer, Ernst Helmut"
2606,Fa. Osw. Zinke
2609,"Wegwart, Albert"
2612,Hansebooks GmbH
2615,Verb. Bildender Künstler d. DDR
2618,Brandenburgische Kulturstiftung Cottbus
2619,"Galerie im Turm, Berlin -Hauptstadt der DDR"
2620,Galerie im Turm
2624,"VEB Elektrokeramik ""Artur Winzer"""
2625,VEB Fliesenleger Blankenfelde
2627,Directmedia Publ.
2629,"Reichmuth, Angelika"
2630,Heimatmuseum Hohenschönhausen
2631,"Warseycek, Hanns"
2637,Verlag Annedore Leber
2641,Topotek1 GmbH Berlin
2642,MDT Gesellschaft für Sonnenschutzsysteme mbH Hardheim
2643,"Fa. Wolfgang Weißig, Eichwalde"
2645,"Schelkle, Hans"
2646,VEB Klimatechnik Potsdam-Babelsberg
2647,"Kühn, Helgard"
2678,"Konzarew, Bojidar Nikolov"
2684,Barth Elmenhorst
2686,"Treichel, Willy"
2697,VEB Schilderwerk Beutha
2698,"Borchard, Berlin-Köpenick"
2705,"Seiler & Siebert, Bildgießerei Schöneiche"
2709,"Hebold, Alfred"
2734,"Mlekusch, Monika"
2739,"Haviland Ritter, Nikolaus"
2745,"Barnack, Wolfgang"
2747,"Tsakiridis, Vagiles"
2751,"Brosemann, Marianne"
2755,"Reuschel, Christa"
2767,"Förderkreis für Bildung, Kultur und internationale Beziehungen Reinickendorf e.V"
2772,Krankenhausleitung des Humboldt-Krankenhauses
2773,Senator für Gesundheit und Soziales 
2777,Senator für Stadtentwicklung und Umweltschutz Berlin
2778,"Senatsverwaltung für Bauen, Wohnen und Verkehr"
2785,"Poggel, Günther"
2786,Initiative Waidmannslust
2788,"Scheybal, Stefan"
2791,kunststadt | stadtkunst
2792,Kulturwerk des Berufsverbandes Bildender Künstler Berlins GmbH 
2793," Verwaltung der Staatlichen Schlösser und Gärten und Nationalgalerie Berlin, SMPK"
2798,Projektgruppe „100 Jahre Rathaus Reinickendorf“
2799,Köppe Contemporary
2812,Fa. Wilfried Hann
2814,Willnecker & Siegmann
2825,Technische Universität Berlin. Institut für Stadt- und Regionalplanung
2832,"Gindhart, Ruth et al."
2833,Galerie Mönch Berlin
2837,"Machinek, Uwe"
2838,"Hartisch, Eberhard"
2841,"Deutsche UNESCO-Kommission, Bonn"
2845,"Schulze, Friedrich-Wilhem"
2856,"Emmen, Reinhard"
2858,Gundbesitzer-Verein Berlin-Frohnau.
2867,"Weltzien, Wolf Deneke von "
2868,"Weinthaler, Fritz"
2871,"Micheli, Carl Aurelius"
2883,"Schmalfuß, Jörg"
2898,"Klempin, Wilhelm"
2912,"Strandt, Jürgen"
2915,FACETTEN Magazin-Redaktion
2917,"Alija, Artur"
2931,"Pätzold, Gabriele"
2932,"Bundesinstitut für Bau-, Stadt- und  Raumforschung im Bundesamt für  Raumwesen und Raumordnung"
2936,Kunstgießerei Hans Mayr II
2938,"Giovanni Battista Bastianelli, Rom"
2946,Freunde der Nationalgalerie e.V. 
2948,"Helmich, Bernd M."
2952,"Evangelischer Pressedienst, Landesdienst Berlin"
2960,"Scharfenecker, Walter"
