PRIREF,NAME
1949,Fa. Harri - F. Lustig
1950,"Dimitrijevic, Branco"
1960,Fa. G. Heinze
1974,"EAW Berlin GmbH, Hoffmannstraße 15-18"
1983,"Nitz, Ursula"
1990,MCM-Art-Verl.
1994,"Kommalein, Lutz"
2005,"Wenske, Gorch"
2013,"Pollatscheck, Doris"
2022,Fa. Marc Krepp
2030,"Greiwe, Uwe"
2033,Fa. Karl-Heinz Schmäke
2034,Fa. R. & D. Jänchen
2035,Stadt und Land Wohnbauten-Gesellschaft mbH
2037,Verlag der Kunst VEB
2039,"Homilius, K"
2044,"Hebecker, Susanne"
2045,Sehsam-Verl.
2049,Ed. Leipziger Kreis
2054,Höhere Webschule Reutlingen
2056,"Volkisch, Harald"
2057,Höhere Fachschule für Textil-Industrie Chemnitz
2061,"Bez.-Leitung Berlin d. SED, Bez.-Komm. zur Erforschung d. Geschichte d. Örtl. Arbeiterbewegung"
2062,"Gedenkstättenverb., Geschäftsstelle"
2064,"Wieduwilt, Ernst"
