PRIREF,NAME
1928,Schadow Gesellschaft Berlin
1929,"Czok, Claudia"
1935,Verwaltung d. Staatl. Schlösser u. Gärten
1937,Koehler und Amelang
1947,Fa. Kessel & Röhl
1948,Fa. Walter und Paul Gladenbeck
1949,Fa. Harri - F. Lustig
1950,"Dimitrijevic, Branco"
1960,Fa. G. Heinze
1974,"EAW Berlin GmbH, Hoffmannstraße 15-18"
1983,"Nitz, Ursula"
1990,MCM-Art-Verl.
1994,"Kommalein, Lutz"
2005,"Wenske, Gorch"
2013,"Pollatscheck, Doris"
2022,Fa. Marc Krepp
2030,"Greiwe, Uwe"
2033,Fa. Karl-Heinz Schmäke
2034,Fa. R. & D. Jänchen
2035,Stadt und Land Wohnbauten-Gesellschaft mbH
2037,Verlag der Kunst VEB
2039,"Homilius, K"
2044,"Hebecker, Susanne"
2045,Sehsam-Verl.
2049,Ed. Leipziger Kreis
2054,Höhere Webschule Reutlingen
2056,"Volkisch, Harald"
2057,Höhere Fachschule für Textil-Industrie Chemnitz
2061,"Bez.-Leitung Berlin d. SED, Bez.-Komm. zur Erforschung d. Geschichte d. Örtl. Arbeiterbewegung"
2062,"Gedenkstättenverb., Geschäftsstelle"
2064,"Wieduwilt, Ernst"
2065,Fachwebschule zu Gera
2068,Staatliche höhere Fachschule für Textil-Industrie Münchberg
2071,Verein Deutscher Wollkämmer und Kammgarnspinner
2073,Vereinigung Sächsischer Spinnerei-Besitzer
2074,Höhere Webschule Chemnitz
2075,"Eisermann, Björn-Arne"
2076,"Batzhuber, Josef"
2078,"Kotzur, Marlene"
2081,"Bezirk Pankow von Berlin, Amt für Umwelt und Natur"
2082,"Bezirk Pankow von Berlin, Amt für Tiefbau und Landschaftsplanung"
2085,"Techn. Univ.-Bibliothek, Abt. Publ."
2088,Ev. Auferstehungs-Gemeinde Berlin
2089,Ev. Gethsemane-Kirchengemeinde Berlin
2090,Evang. Versöhnungs-Kirchgemeinde Berlin
2091,"Güntzer, Reiner"
2095,"Bezirk Pankow von Berlin, Amt für Scule und Sport"
2097,Liegenschaft Gesellschaft GmbH.
2101,Dauerleihgabe des Landes Berlin
2103,Ernst-Rietschel-Kulturring e. V.
2104,"Bezirk Pankow von Berlin, Amt für Schule und Sport"
2107,Dauerleihgabe des Landes Berlin.
2109,"Bezirk Pankow, Amt für Umwelt und Natur"
2110,Majakowski-Galerie
2112,Nachlass Wilfried Fitzenreiter
2115,Eigentum des Künstlers
2119,"Vespermann, Albert"
2121,"Oldenburg, Barbara und Klaus"
2123,"Morske, Ruth"
2128,"BWV, Berliner Wiss.-Verl."
2130,"Bezirksamt Pankow von Berlin, Amt für Weiterbildung und Kultur"
2131,Städtische Galerie am Markt
2133,"Steinwasser, Fritz"
2134,"Schönholz, Waltraud"
2137,"Killisch-Horn, Astrid von"
2141,Galerie Joachim Pohl
2147,"Kalinich, Arno"
2149,Mabuse-Verl.
2153,"Gießmann, Carl"
2158,"Semran, Jens"
2159,"Sigbjoernsen, Hannelore"
2161,Passage-Verl.
2163,"Gillen, Eckdart"
2166,Henschelverlag Kunst u. Gesellschaft
2173,"Engler, Arist"
2175,Rat d. Stadtbezirks
2176,BBB Biomedizinischer Forschungscampus Berlin-Buch GmbH
2181,"Paris : Editions Cercle d'art,"
2183,"Paris : Cercle d'art,"
2188,Dauerleihgabe des Künstlers (Nachlass)
2190,"Schröder, Anneliese"
2191,Bundesminister d. Innern
2192,Verlag für das Künstlerbuch
2193,"Heymer, Kai"
2198,"Döhl, Dörte"
2218,Galerie Schlassgoart
2219,"Schrickel, Monika"
2223,"Ugowski, Eberhard"
2224,Straßen- und Grünflächenamt Pankow
2225,"Senator für Bauen, Wohnen und Verkehr (alter Verwaltungstitel); Leihgabe an das Auguste-Viktoria-Krankenhaus"
2226,"Peter Lindenberg, Leihgabe des Künstlers"
2227,Berlinische Galerie; Leihgabe an das Auguste-Viktoria-Krankenhaus
2228,"Senators für Bauen, Wohnen und Verkehr (alter Verwaltungstitel); Leihgabe des Senats"
2230,Nachlass des Künstlers; Leihgabe an das Auguste-Viktoria-Kranenhaus
2231,Rüdiger Preissler; Leihgabe an das Auguste-Viktoria-Krankenhaus
2232,"Berlinische Galerie, Leihgabe an das Auguste-Viktoria-Krankenhaus"
2236,Fördererkreis Kulturzentrum Berlin
2237,"Belawenzew, M. D."
2239,"Koroljow, W. D."
2241,Fa. Grün & Bilfinger
2242,Fa. Vereinigte Werkstätten für Mosaik und Glasmalerie August Wagner
2243,Fa. Berliner Natur- und Stuckstein
2249,"Senatsverwaltung für Stadtentwicklung und Umweltschutz, Referat Öffentlichkeitsarbeit"
2253,Ed. Galerie Schwind
2256,"Stötzner, Werner"
2263,"Haisch, Eckhart"
2264,Modo-Verlag
2266,Kunstgeschichtl. Institut
2301,"Zache, Sabine"
2313,VEB Stuck & Naturstein
2314,"Spanjer, Rimco"
2321,"Bockmann, Jenny"
2322,"Billinger-Cromm, Renate"
2333,"Matilainen, Anu (Ann)"
2344,"Brösicke-Istok, Sylvia"
2345,"Menge, Leni"
2347,Fa. Eberhard Garbe
2354,Galerie Michael Haas
2355,"Qualitaner, Düsseldorf, Düsseldorf"
2356,"Lubinetzki, Therés"
2359,"Holsing, Dr. Henrike"
2362,"Trägerverein Ottobeurer Museen, Kunst und Kultur e.V., Kunst und Kultur e.V."
2363,"Ronte, Prof. Dr. Dieter"
2364,Galerie Breckner
2374,Michael Imhof Verlag GmbH & Co. KG
2375,Fa. Herbert Lindner GmbH
2388,VEB Stuck und Naturstein (Jürgen Kliemes und Kollektiv)
2391,Arte-Factum-Verl. + Kulturmanagement
2399,"Puritani, Laura"
2405,"Bostelmann, Jürgen, u. Prof. Dr. Klaus Siebenhaar"
2410,Gemälde-Galerie Abels
2413,"Bendig, Editha (Ditha)"
2416,Kritzler & Paulig
2426,Mittelrhein. Landesmuseum
2429,Fa. Noack (Leipzig)
2430,Hannoversches Guss- u. Walz-Werk C. Bernstorf und Eichwede
2432,VEB Stuck und Naturstein (Kollektiv)
2433,"Schötschel, Stephan"
2435,"Trüms, Axel"
2438,"Sawade, K. (Henry?)"
2439,"Clauß, Eduard-Gerhard"
2446,"Moiq, Manuel Garcia"
2461,Villa Grisebach Auktionen GmbH
2466,"Ernerth, Martin"
2473,"Delagrammatikas, Giannis"
2490,Familie Arnold Köttgen
2492,Werkstätten Berlin-Lichtenberg
2493,"Weyda, Jürgen"
2494,"Fauck, Walter"
2495,"Laschke, Bärbel"
2498,"Brockdorff, Dieter"
2506,"ʿAzaryahu, Maʿoz"
2511,"Jechel, Hans-Jörg"
2512,"Vomm, Wolfgang"
2521,"Radtke, Joh."
2524,Evangelische Kirchengemeinde in der Friedstadt
2527,"Düwe, Karl"
2531,Berlin / Senatsverwaltung für Stadtentwicklung und Umweltschutz
2532,Berlin West / Senator für Stadtentwicklung und Umweltschutz
2533,"[Vermessungsämter Wedding, Tiergarten und Kreuzberg]"
2535,Dehain-Verl.
2536,Spreehund-Verl.
2538,"Nitsche, Siems"
2543,Fa. C. A. Bierlein
2551,"Heldt, Gisela"
2554,"Ausstellung 1958.09.01-1958.12.01, Dresden, Staatliche Kunstsammlungen/Albertinum"
2558,Schöneweider Mosaikwerkstatt des VEB Stuck und Naturstein
2559,"Grohmann, Eckhart G."
2561,Klartext-Verl.
2569,"Magistrat, Abt. Kultur"
2573,"Filin, Gheorghi"
2575,"Mustafa, Mustafer"
