PRIREF,NAME
653,"AVI, Arzneimittel-Verl."
658,Gerhard-Marcks-Stiftung
664,"Wissenschaftliche Buchgesellschaft, [Abt. Verl.]"
667,Fa. Richard Barth
671,Fa. Richard Metzner
675,Staatl. Kunsthalle Berlin
685,Strodehner Presse
687,Kunstverein Salzgitter
702,"Thompsen, David Lee"
705,Grünflächenamt Schöneberg
706,Tonwarenfabrik Ernst March und Söhne
713,"Klodt, Piotr Clodt von Jürgensburg, genannt Baron Klodt"
726,"Stepke, Angelika"
740,"Happatz, Horst"
742,Motzbuch
743,Heimatverein Zehlendorf
763,Senator für Stadtentwicklung und Umweltschutz
769,"Senator für Bauen, Wohnen und Verkehr (alter Verwaltungstitel)"
771,"Senators für Bauen, Wohnen und Verkehr (alter Verwaltungstitel)"
773,Nachlass des Künstlers
774,Rüdiger Preissler
777,"Masa, Elke"
781,Fa. Ways & Freitag
786,Büro Prof. C. Taubert & Johannes Hinrichsen
788,"Hünert, Doris"
