PRIREF,NAME
999,Parthas-Verl.
1000,"Wohlbert, Willi"
1001,Fontane-Buchhandl.
1006,Fa. Bardzki & Oeser
1012,"Scholz, Ute Maria Ursula"
1015,Tief- und Hochbauamt Kreuzberg
1024,Fa. Puhl und Wagner
1025,Fa. Schaake
1031,Königliche Eisengießerei zu Berlin
1038,"Senator für Stadtentwicklung u. Umweltschutz, Abt. 3, Natur, Landschaft, Grün, Referat Gartendenkmalpflege"
1039,Fa. Merk und Sohn
1055,"Chod, Kathrin"
1057,Verein Görlitzer Park
1062,"Paetzold, Gabriele"
1064,"Sergijewski, Nikolai W."
1065,"Krawzow, Grigori L."
1067,Stiftung Preußischer Kulturbesitz (Dauerleihgabe aus Privatbesitz)
1070,"Schwenk, Herbert"
1076,Fa. Weißenborn
1077,"Ruchhöft, Bernd"
1085,"Kratt, Regina"
1086,"Throl, Hans-Joachim"
1090,"Lesser-Sayrac, Katrin"
1091,Schelzky und Jeep
