PRIREF,NAME
3250,"Alff, Carolin "
3252,"Herfert, Gottfried "
3253,"Heintzy, Cornelius "
3256,"Koeppen, Walther"
3268,"Mrosk, Otto "
3274,Gießerei Mörth
3276,"Viirchow, Rudolf "
3286,"Rocha, Bogumil "
3289,Architektensozietät Solf & Wichards
3294,Klingenberg und Beyer
3300,"Lüdtke, Torsten"
3303,"Encke, Friedemann"
3304,"Bösel, Peter-Alexander"
3306,Zaar und Vahl (Architektengemeinschaft) 
3307,"Rohowski, Ilona"
3311,"Rückwardt, Hermann Oskar"
3325,Gießerei Willy Geislel
3335,"Lohmer, Clemens"
3336,"Baudinot, Jacques"
3339,"Räthel, K."
3346,"Breitenfeld, Jörg"
3353,"Karchow, Paul"
3354, Gebrüder Zeidler
3357,"Dörendropper Keramikwerke, Sehnde"
3368,Architektensozietät Reinhardt & Süßenguth 
