PRIREF,NAME
1534,Verlag Gustav Reinhardt
1540,"Wimmel, Paul"
1544,Wohnungsbaugesellschaft GEHAG
1545,"Toberenz, Robert"
1546,"Midell, Margret"
1549,"Knippschild, Elmar"
1558,"Heinke, Herbert"
1559,Fa. Borchardt
1560,Fa. Strassacker
1562,Fa. Haber & Brandner
1565,"Friebel, Louis"
1567,"Stenvers, Gerrit"
1570,"Strauch, Raffael"
1571,"Rieck, Klaus W."
1583,"Eickenjäger, Karl-G."
1586,"Klother, Eva-Maria"
1587,Seidenmanufaktur Eschke
1596,"Verlag der Kunst, VEB"
1603,Geschichtskomm. Die Linke. Friedrichshain-Kreuzberg
1607,"Hubertus Melsheimer, Kunsthandel"
1608,"Hartmut Sy, Leihgabe an das Vivantes Klinikum Friedrichshain"
1609,Leihgabe des Künstlers an das Vivantes-Klinikum
1611,Konsistorium der Ev. Kirche Berlin-Brandenburg-schlesische Oberlausitz
1616,"Poetschke, Alexander"
1625,Fa.  Schulte-Schmale
