PRIREF,NAME
2527,"Düwe, Karl"
2531,Berlin / Senatsverwaltung für Stadtentwicklung und Umweltschutz
2532,Berlin West / Senator für Stadtentwicklung und Umweltschutz
2533,"[Vermessungsämter Wedding, Tiergarten und Kreuzberg]"
2535,Dehain-Verl.
2536,Spreehund-Verl.
2538,"Nitsche, Siems"
2543,Fa. C. A. Bierlein
2551,"Heldt, Gisela"
2554,"Ausstellung 1958.09.01-1958.12.01, Dresden, Staatliche Kunstsammlungen/Albertinum"
2558,Schöneweider Mosaikwerkstatt des VEB Stuck und Naturstein
2559,"Grohmann, Eckhart G."
2561,Klartext-Verl.
2569,"Magistrat, Abt. Kultur"
2573,"Filin, Gheorghi"
2575,"Mustafa, Mustafer"
2577,"Bezirk Lichtenberg von Berlin, Gartenbauamt"
2580,"Schmiedecke, Ralf"
2582,"DEWAG, Redaktionsgruppe"
2587,DKB Stiftung für Gesellschaftkliches Engagement
2590,Förderverein Schloss Hohenschönhausen
2591,Förderverein Schloß Hohenschönhausen e.V.
2595,"Unger, Bernd D. W."
2597,"Poertzel, Hermann Hugo Otto"
2599,"von Ende, Gerd"
