PRIREF,NAME
912,Edition Harenberg
920,"Sünderhauf, Esther Sophie"
928,Heimatverein für den Bezirk Zehlendorf e.V. ; Bezirksamt Zehlendorf von Berlin
929,"Hoffmann, Arthus (Arthur, Artur)"
933,Fa. Schabow
935,"Firma Vater, Berlin"
940,"Breuker, Ivo"
949,Fa. F. Schulte-Schmale
952,Galerie Bremer
956,"Museen, Gedenkstätten und Sammlungen der Stadt Magdeburg"
963,Kunstamt Kreuzberg
970,"Behrendt, Helgard"
971,Berlin Story Verlag GmbH
977,"Scheda, Robert"
978,"Heubes, Max"
983,Stiftung für Bildhauerei
987,"Hannsz, Monika"
991,"Höhle, Gisela"
992,Kunstamt Spandau
997,Stiftung Museum Fritzlar
999,Parthas-Verl.
1000,"Wohlbert, Willi"
1001,Fontane-Buchhandl.
1006,Fa. Bardzki & Oeser
1012,"Scholz, Ute Maria Ursula"
