PRIREF,NAME
1705,"Curth, Roland; Bilang, Karla"
1713,"Staatliche Schlösser und Gärten Berlin, West"
1717,Bezirk Steglitz-Zehendorf
1726,Verlag Paul Kristensen
1728,"Schultheiss-Block, Gabriele"
1740,Deutscher Kunstverl.
1748,"Eifrig, Penelope"
1752,"Fa. Wallis, Werder"
1769,"Brendel, Johann Gottlieb David"
1770,"Trippel, Ludwig David"
1774,Fa. Eisenhütte zu Reinerz
1781,L-und-H-Verl.
1782,"Finckenwirth, Bernd"
1791,Praxis-Nah-e. V. 
1794,"Lammert, Ule"
1795,"Sährig, Manfred"
1803,"Strandt, Jürgen"
1808,Lukas-Verl.
1816,Dt. Verein f. Kunstwissenschaft
1828,Fa. Opus Denkmalpflege
1829,Fa. Herweg
1831,"Der Präsident des Abgeordnetenhauses von Berlin, Referat Öffentlichkeitsarbeit"
1833,Fa. Mannesmann-Seiffert
1835,"Reifferscheidt, Fabian"
1842,Galerie Pels-Leusden
