PRIREF,NAME
1427,Fa. Horst Borchardt
1438,VEB Tüllgardinen- und Spitzenwerk
1439,VEB Tischdeckenwerk
1440,VEB Möbelstoff- und Plüschwerk
1446,Fa. Grasyma
1457,"Mallebrein, Wolfram"
1459,Fa. Aktiengesellschaft Schaeffer & Walcker
1460,Fa. Marmorwarenfabrik R. Barheine
1462,Thormann & Goetsch
1465,Ev. Friedhofsverband Berlin-Stadtmitte
1471,Fa. M. Bickel
1473,"Halbritter, Karl Otto"
1474,"Küllenberg, Hans Richard"
1478,"Poser, Sibylle"
1481,Freunde und Förderer Schloß Britz e. V.
1482,Gischow & Partner (Kleeberg)
1484,"Rochelt, Günter"
1485,Fa. Daimler-Benz
1493,modo Verlag
1495,"Wedewerd, Rolf"
1496,"Krimmel, Babette"
1498,Fa. Pfefferkorn
1500,Rasch Druckerei und Verlag GmbH & Co.KG
1501,"Lingenauber, Klaus"
