PRIREF,NAME
2322,"Billinger-Cromm, Renate"
2333,"Matilainen, Anu (Ann)"
2344,"Brösicke-Istok, Sylvia"
2345,"Menge, Leni"
2347,Fa. Eberhard Garbe
2354,Galerie Michael Haas
2355,"Qualitaner, Düsseldorf, Düsseldorf"
2356,"Lubinetzki, Therés"
2359,"Holsing, Dr. Henrike"
2362,"Trägerverein Ottobeurer Museen, Kunst und Kultur e.V., Kunst und Kultur e.V."
2363,"Ronte, Prof. Dr. Dieter"
2364,Galerie Breckner
2374,Michael Imhof Verlag GmbH & Co. KG
2375,Fa. Herbert Lindner GmbH
2388,VEB Stuck und Naturstein (Jürgen Kliemes und Kollektiv)
2391,Arte-Factum-Verl. + Kulturmanagement
2399,"Puritani, Laura"
2405,"Bostelmann, Jürgen, u. Prof. Dr. Klaus Siebenhaar"
2410,Gemälde-Galerie Abels
2413,"Bendig, Editha (Ditha)"
2416,Kritzler & Paulig
2426,Mittelrhein. Landesmuseum
2429,Fa. Noack (Leipzig)
2430,Hannoversches Guss- u. Walz-Werk C. Bernstorf und Eichwede
