PRIREF,NAME
1095,"Heymüller, Johann Matthias Gottlieb"
1096,Leihgabe der Londoner Gallerie Marlborough International Fine Art an die Neue Nationalgalerie
1098,"Hohenhörst, Katharina"
1101,Fa. Herbich
1102,"Klöter, Burckhart"
1104,"Tasaaert, Jean-Pierre Antoine "
1107,"Ritthoff-Lienau, Manfred"
1123,"Grszheim, Carl von"
1126,"Hinkfoth, Uwe"
1130,"Siemering, Wolfgang"
1131,Württembergische Metallwaren-Fabrik Geislingen (WMF)
1135,Fa. Aktiengesellschaft Schäffer & Walcker
1139,Dt. Verl. für Kunstwiss.
1151,Westholstein. Verl.-Anst. Boyens
1152,"Freudemann, Felix"
1153,Königliche Bauinspektion IV
1154,"Bendorff, Hugo"
1163,Selbstverlag Rüdiger Bausch
1167,Fa. Dove und Minteln
1173,"Eberhard, Elga"
1175,Sammlung DaimlerChrysler
1176,Fa. Bildgießerei Frank Herweg
1177,Fa. Schmees
1178,Fa. Arnold-Diller
