PRIREF,NAME
1782,"Finckenwirth, Bernd"
1791,Praxis-Nah-e. V. 
1794,"Lammert, Ule"
1795,"Sährig, Manfred"
1803,"Strandt, Jürgen"
1808,Lukas-Verl.
1816,Dt. Verein f. Kunstwissenschaft
1828,Fa. Opus Denkmalpflege
1829,Fa. Herweg
1831,"Der Präsident des Abgeordnetenhauses von Berlin, Referat Öffentlichkeitsarbeit"
1833,Fa. Mannesmann-Seiffert
1835,"Reifferscheidt, Fabian"
1842,Galerie Pels-Leusden
1847,Firma Villa Grisebach
1851,"Universitätsbibliothek d. Techn. Univ., Abt. Publ."
1853,"Bezirksamt Charlottenburg-Wilmersdorf, Umweltamt"
1867,Fa. Albert Burrer Natursteinwerke
1872,Verlag Galerie Welz
1877,Fa. Bochumer Verein für Gusstahlfabrikation AG
1881,"Bröckl, Martin"
1882,Naubacher
1886,"Poethig, Kurt"
1887,"Pöthig, Kurt"
1890,"Scheibe, Richard Killy, Herta Elisabeth"
